YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,T2M,QV2M,PRECTOTCORR,WD10M
2019,2,26,5.06,0.61,315.82,81.91,90.69,10.23,0.21,4.59,12.02,6.04,1.45,203.25
2019,2,27,5.21,0.34,344.34,48.8,95.1,6.63,0.13,2.62,11.62,7.51,12.34,249.88
2019,2,28,5.32,0.3,336.37,42.01,96.01,5.81,0.12,2.24,10.19,6.84,32.68,264.81
2019,3,1,5.68,0.53,325.27,73.16,101.96,9.55,0.16,4.08,9.49,5.55,2.07,279.25
2019,3,2,5.22,0.36,332.17,50.94,93.17,6.82,0.13,2.81,10,6.9,2.84,227.06
2019,3,3,5.33,0.44,316.76,59.82,94.12,7.78,0.15,3.39,11.05,5.92,0.09,188.56
2019,3,4,5.4,0.44,331.06,62.72,97.18,8.27,0.15,3.45,11.86,6.84,1.47,209.75
2019,3,5,5.46,0.5,317.63,71.84,98.81,9.38,0.18,3.94,11.29,6.96,0.74,82.31
2019,3,6,5.78,0.71,297.29,101.75,104.56,12.55,0.22,5.66,12.29,6.47,0,211.75
2019,3,7,5.89,0.42,321.16,61.54,107.52,8.3,0.18,3.39,12.13,7.2,0,257.75
2019,3,8,6.2,0.75,274.93,107.92,110.2,13.45,0.26,6.11,12.23,6.23,0,251.38
2019,3,9,6.27,0.77,264.69,110.81,110.95,13.71,0.27,6.31,11.69,5.07,0,161.75
2019,3,10,6.18,0.72,287.62,104.49,109.98,13.09,0.27,5.89,12.24,5.86,0,223.69
2019,3,11,6.07,0.56,313.32,84.15,108.74,10.97,0.21,4.68,13.23,6.96,0,233.56
2019,3,12,6.22,0.66,299.26,97.66,108.99,12.34,0.26,5.57,14.95,6.35,0,152.75
2019,3,13,5.9,0.62,321.91,92.79,105.52,11.59,0.27,5.19,15.56,6.77,0.3,195.69
2019,3,14,5.98,0.31,331.85,50.11,109.08,6.87,0.15,2.67,10.95,7.32,8.13,245.38
2019,3,15,6,0.47,327.93,72.65,108.44,9.66,0.23,3.98,13.31,7.02,0.09,209.88
2019,3,16,5.87,0.27,336.65,44.2,106.62,5.97,0.14,2.26,11.31,7.2,21.83,231.06
2019,3,17,6.41,0.55,328.2,86.53,116.77,11.35,0.23,4.79,12.51,7.32,7.72,266.56
2019,3,18,6.34,0.7,295.23,108.83,114.76,13.67,0.29,6.04,13.52,7.32,0,217.69
2019,3,19,6.66,0.77,281.02,118.98,119.17,14.92,0.34,6.68,15.02,7.02,0,188.88
2019,3,20,6.56,0.72,295.37,113.11,117.84,14.26,0.3,6.32,15.29,7.57,0,151.75
2019,3,21,6.29,0.7,303.91,112.57,113.59,13.88,0.28,6.26,15.19,7.14,0.01,193.75
2019,3,22,5.93,0.63,316.34,100.44,106.1,12.28,0.25,5.61,15.55,8,0.04,212.88
2019,3,23,6.11,0.47,327.91,76.82,109.89,9.91,0.2,4.21,15.83,7.93,0,160.12
2019,3,24,6.09,0.46,334.7,75.47,109.13,9.79,0.21,4.15,14.75,7.75,0.12,219.69
2019,3,25,6.34,0.32,333.95,53.73,114.35,7.4,0.14,2.9,11.22,6.77,4.69,284.44
2019,3,26,6.67,0.53,321.66,86.57,119.68,11.51,0.23,4.83,12.27,6.23,0,235.06
2019,3,27,6.43,0.49,321.78,82.8,115.02,10.75,0.21,4.56,12.89,7.2,0.69,238.94
2019,3,28,6.59,0.62,318.76,104.35,119.01,13.33,0.25,5.76,14.4,7.75,0.13,212.38
2019,3,29,6.26,0.27,355.66,48.37,113.88,6.38,0.13,2.53,15.83,7.57,2.41,176.25
2019,3,30,5.99,0.41,356.89,70.65,108.64,8.81,0.17,3.78,14.52,8.24,8.62,225.25
2019,3,31,6.48,0.22,342.8,40.55,117.38,5.83,0.1,2.05,11.67,7.63,6.25,232
2019,4,1,6.42,0.33,346.88,58.6,115.88,7.96,0.14,3.14,11.71,7.51,6.53,232.69
2019,4,2,6.52,0.47,327.96,80.98,117.14,10.52,0.2,4.45,13.05,7.08,0.76,200.12
2019,4,3,6.77,0.69,298.91,117.34,121.44,14.65,0.29,6.55,14.46,6.71,0,177.88
